Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness (CheckM1)	Contamination (CheckM1)	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	Completeness (CheckM2)	Contamination (CheckM2)	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Circular contigs	Circular bp	Circular fraction	mid_B011_final.fastq Relative Abundance (%)	mid_B011_final.fastq Covered Fraction	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.6_sub	k__Bacteria (UID203)	5449	103	57	24.32	2.63	0.0	1122511	0	165	165	9082	9082	6803	6803	22498	22498	41.7	1.82	80.41	11	1705	82	19	2	0	0	0	25.9	1.38	Neural Network (Specific Model)	11	0.804	9082	178.3976539589443	1122511	0.42	1705	165	22498		0	0	0.0	0.4523915	0.9999786	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_025148125.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	95.96	0.712	GCF_025148125.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	95.96	0.712	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 94.24, 0.251; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 92.84, 0.552; GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 87.11, 0.296; GCF_009707925.1, s__Blautia_A luti, 95.0, 86.99, 0.221; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 86.59, 0.25; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 86.38, 0.217; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 85.89, 0.189; GCA_905209435.1, s__Blautia_A sp905209435, 95.0, 84.6, 0.167	11.3	11.0		
bin.70_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	201462	0	47	47	5066	5066	4286	4286	8890	8890	55.5	3.36	83.65	11	340	56	0	0	0	0	0	4.43	0.0	Neural Network (Specific Model)	11	0.836	5066	168.21176470588236	201462	0.56	340	47	8890		0	0	0.0	0.25987968	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.4%)
bin.72	root (UID1)	5656	56	24	0.0	0.0	0.0	271448	0	23	23	24102	24102	11802	11802	40078	40078	33.9	1.62	81.06	11	309	56	0	0	0	0	0	8.29	0.01	Neural Network (Specific Model)	11	0.81	24102	238.39482200647248	271448	0.34	309	23	40078		0	0	0.0	0.8276897	0.9971007	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.5%)
bin.73_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	131938	0	25	25	6194	6194	5277	5277	13532	13532	51.1	3.38	82.38	11	236	56	0	0	0	0	0	4.36	0.01	Neural Network (Specific Model)	11	0.824	6194	155.91101694915255	131938	0.51	236	25	13532		0	0	0.0	0.31811816	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.4%)
bin.75_sub	o__Clostridiales (UID1212)	172	263	149	92.62	0.78	100.0	2953276	0	61	61	90605	90605	48414	48414	237951	237951	44.2	1.67	88.84	11	2663	15	245	3	0	0	0	97.21	2.31	Gradient Boost (General Model)	11	0.888	90605	328.93578670672173	2953276	0.44	2663	61	237951		0	0	0.0	1.0219688	0.99999964	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.71	0.889	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.71	0.889	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934247115.1, s__Coprococcus sp934247115, 95.0, 90.82, 0.579; GCF_025149915.1, s__Coprococcus eutactus, 95.0, 89.96, 0.439; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 89.68, 0.325; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 89.62, 0.372; GCA_934277375.1, s__Coprococcus sp934277375, 95.0, 89.37, 0.437; GCA_029338615.1, s__Coprococcus sp029338615, 95.0, 89.28, 0.389; GCA_900767685.1, s__Coprococcus sp900767685, 95.24, 88.9, 0.356; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 88.25, 0.347; GCA_934270935.1, s__Coprococcus sp934270935, 95.0, 87.19, 0.3; GCA_016297325.1, s__Coprococcus sp016297325, 95.0, 85.66, 0.281	88.42	11.0		
bin.76	g__Streptococcus (UID684)	26	668	229	25.32	0.51	33.33	502273	0	85	85	6333	6333	5909	5909	19582	19582	39.4	2.06	82.78	11	711	485	180	3	0	0	0	16.78	0.01	Neural Network (Specific Model)	11	0.828	6333	196.45850914205343	502273	0.39	711	85	19582		0	0	0.0	0.31766754	0.9999881	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius_D	GCF_002094975.1	95.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius_D	97.01	0.838	GCF_009738225.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	93.94	0.786	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI		GCF_000785515.1, s__Streptococcus salivarius, 95.07, 94.73, 0.766; GCA_003521145.1, s__Streptococcus sp003521145, 95.0, 93.4, 0.607; GCF_902463925.1, s__Streptococcus sp902463925, 95.0, 92.41, 0.644; GCF_000188295.1, s__Streptococcus vestibularis, 95.0, 92.08, 0.632; GCF_010120595.1, s__Streptococcus thermophilus, 95.0, 90.27, 0.593; GCA_010604095.1, s__Streptococcus sp000187445, 95.0, 89.86, 0.631; GCF_934229725.1, s__Streptococcus sp934229725, 95.0, 89.39, 0.614	24.49	11.0		
bin.7_sub	k__Bacteria (UID203)	5449	103	57	8.37	0.0	0.0	344614	0	62	62	6026	6026	5558	5558	14380	14380	38.3	1.89	84.61	11	527	94	9	0	0	0	0	9.6	0.01	Neural Network (Specific Model)	11	0.846	6026	186.19924098671729	344614	0.38	527	62	14380		0	0	0.0	0.2760279	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (5.9%)
bin.8_sub	o__Clostridiales (UID1226)	155	278	158	44.69	1.92	42.86	1787123	0	217	217	10607	10607	8235	8235	26695	26695	43.5	1.57	81.55	11	2497	160	111	7	0	0	0	34.11	0.74	Neural Network (Specific Model)	11	0.815	10607	196.38366039247097	1787123	0.43	2497	217	26695		0	0	0.0	0.45963815	0.9999681	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	GCF_020554845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	97.05	0.837	GCF_020554845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	97.05	0.837	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_020537505.1, s__Blautia_A sp905206915, 95.0, 88.59, 0.412; GCF_934371575.1, s__Blautia_A sp934371575, 95.0, 87.44, 0.326; GCA_934394545.1, s__Blautia_A sp934394545, 95.0, 85.32, 0.217; GCF_025566865.1, s__Blautia_A acetigignens, 95.0, 84.25, 0.188; GCA_934408705.1, s__Blautia_A sp934408705, 95.0, 84.02, 0.181; GCA_029101305.1, s__Blautia_A sp029101305, 95.0, 83.87, 0.185	23.77	11.0		
bin.91_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	316471	0	22	22	18624	18624	14385	14385	58576	58576	40.0	1.67	83.81	11	428	56	0	0	0	0	0	8.4	0.04	Neural Network (Specific Model)	11	0.838	18624	208.1518691588785	316471	0.4	428	22	58576		0	0	0.0	0.74448675	0.9999937	Unclassified																		No bacterial or archaeal marker
bin.94_sub	k__Bacteria (UID203)	5449	103	57	0.88	0.0	0.0	396944	0	42	42	14847	14847	9451	9451	98553	98553	48.5	2.81	85.01	11	559	102	1	0	0	0	0	7.83	0.98	Neural Network (Specific Model)	11	0.85	14847	202.742397137746	396944	0.49	559	42	98553		2	12606	0.03175762828005966	0.8647334	0.99999243	Unclassified																		No bacterial or archaeal marker
bin.97_sub	k__Bacteria (UID203)	5449	104	58	6.43	0.0	0.0	265385	0	44	44	6742	6742	6031	6031	21290	21290	62.9	2.02	83.24	11	421	92	12	0	0	0	0	7.81	0.0	Neural Network (Specific Model)	11	0.832	6742	176.624703087886	265385	0.63	421	44	21290		0	0	0.0	0.38197866	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (8.6%)
bin.9_sub	f__Bifidobacteriaceae (UID1462)	65	476	217	43.23	2.19	54.55	967534	0	94	94	14327	14327	10292	10292	35509	35509	60.1	1.8	84.14	11	1048	251	214	11	0	0	0	41.09	2.2	Neural Network (Specific Model)	11	0.841	14327	260.03053435114504	967534	0.6	1048	94	35509		0	0	0.0	0.52060056	0.9999979	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	GCF_000196555.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	97.68	0.824						d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000196555.1, s__Bifidobacterium longum, 95.0, 97.68, 0.824; GCA_905202265.1, s__Bifidobacterium longum_D, 95.0, 96.28, 0.684; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 95.04, 0.558; GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 94.27, 0.659; GCA_022739095.1, s__Bifidobacterium sp022739095, 95.0, 93.98, 0.547; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 87.58, 0.345; GCF_019331675.1, s__Bifidobacterium miconisargentati, 95.0, 83.93, 0.241; GCF_009193305.1, s__Bifidobacterium cebidarum, 95.0, 83.72, 0.173; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 83.68, 0.219; GCF_002259745.1, s__Bifidobacterium myosotis, 95.0, 83.26, 0.177; GCF_001042635.1, s__Bifidobacterium scardovii, 95.0, 83.02, 0.156; GCF_018555455.1, s__Bifidobacterium colobi, 95.0, 82.95, 0.178; GCF_008698235.1, s__Bifidobacterium rousetti, 95.0, 82.32, 0.162; GCF_000741695.1, s__Bifidobacterium reuteri, 95.0, 82.28, 0.182; GCF_002802915.1, s__Bifidobacterium felsineum, 95.0, 82.16, 0.166; GCF_018555385.1, s__Bifidobacterium santillanense, 95.0, 81.97, 0.155	40.97	11.0		
rosella_bin_1	f__Lachnospiraceae (UID1286)	57	420	207	95.17	5.19	23.81	2836086	0	18	18	223385	223385	157560	157560	378988	378988	41.9	0.88	87.44	11	2694	22	377	21	0	0	0	85.11	4.23	Neural Network (Specific Model)	11	0.874	223385	307.6243504083148	2836086	0.42	2694	18	378988		0	0	0.0	2.5468202	0.99973905	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCF_000020605.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.29	0.698	GCF_000020605.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.29	0.698	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902786155.1, s__Agathobacter sp900317585, 95.0, 94.6, 0.592; GCA_937935345.1, s__Agathobacter sp900546625, 95.0, 93.81, 0.623; GCA_934365945.1, s__Agathobacter sp934365945, 95.0, 92.26, 0.5	85.14	11.0		
rosella_bin_101_sub	k__Bacteria (UID203)	5449	103	57	5.26	0.0	0.0	138843	0	36	36	3950	3950	3856	3856	7604	7604	36.9	9.83	83.46	11	197	98	5	0	0	0	0	5.78	0.0	Neural Network (Specific Model)	11	0.834	3950	197.55837563451777	138843	0.37	197	36	7604		0	0	0.0	0.36278474	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.7%)
rosella_bin_102_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	105211	0	20	20	5200	5200	5260	5260	11252	11252	36.0	9.79	80.33	11	136	56	0	0	0	0	0	4.8	0.01	Neural Network (Specific Model)	11	0.803	5200	208.7205882352941	105211	0.36	136	20	11252		0	0	0.0	0.54591596	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (0.8%)
rosella_bin_103_sub	k__Bacteria (UID203)	5449	103	57	1.75	0.0	0.0	56917	0	12	12	4991	4991	4743	4743	13082	13082	35.9	9.34	84.66	4	79	98	5	0	0	0	0	4.83	0.0	Neural Network (Specific Model)	11	0.846	4991	204.21518987341773	56917	0.36	79	12	13082		0	0	0.0	0.67718005	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.8%)
rosella_bin_113_sub	root (UID1)	5656	56	24	4.17	0.0	0.0	186190	0	28	28	7626	7626	6649	6649	15757	15757	32.4	9.12	76.5	11	297	55	1	0	0	0	0	6.21	0.12	Neural Network (Specific Model)	11	0.765	7626	161.55555555555554	186190	0.32	297	28	15757		0	0	0.0	0.36463043	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.0%)
rosella_bin_119_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	115607	0	18	18	6840	6840	6422	6422	14098	14098	33.7	5.71	75.18	11	189	56	0	0	0	0	0	4.9	0.0	Neural Network (Specific Model)	11	0.752	6840	154.91534391534393	115607	0.34	189	18	14098		0	0	0.0	0.33432797	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.2%)
rosella_bin_122_sub	k__Bacteria (UID203)	5449	104	58	3.61	0.0	0.0	181933	0	22	22	8163	8163	8269	8269	33140	33140	39.0	11.0	81.81	11	255	100	4	0	0	0	0	5.68	0.0	Neural Network (Specific Model)	11	0.818	8163	196.27843137254905	181933	0.39	255	22	33140		0	0	0.0	0.4244764	0.9999945	Unclassified Bacteria																		Insufficient number of amino acids in MSA (3.0%)
rosella_bin_124_sub	o__Clostridiales (UID1226)	155	278	158	6.01	0.0	0.0	525095	0	58	58	10814	10814	9053	9053	24541	24541	41.9	5.54	78.88	11	733	248	30	0	0	0	0	8.95	0.0	Neural Network (Specific Model)	11	0.789	10814	190.42701227830835	525095	0.42	733	58	24541		0	0	0.0	0.43816847	0.993087	Unclassified Bacteria																		Insufficient number of amino acids in MSA (7.9%)
rosella_bin_126_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	23551	0	2	2	16248	16248	11775	11775	16248	16248	60.3	2.36	79.51	11	33	56	0	0	0	0	0	7.13	0.0	Gradient Boost (General Model)	11	0.795	16248	193.96969696969697	23551	0.6	33	2	16248		0	0	0.0	0.3154314	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.0%)
rosella_bin_13	f__Bifidobacteriaceae (UID1462)	65	476	217	50.58	0.23	0.0	1127553	0	55	55	26261	26261	20500	20500	92158	92158	60.1	1.27	85.48	11	1049	240	235	1	0	0	0	47.72	0.08	Neural Network (Specific Model)	11	0.855	26261	307.0371782650143	1127553	0.6	1049	55	92158		0	0	0.0	0.66128844	0.9999991	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	GCF_000196555.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.43	0.883	GCF_000196555.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.43	0.883	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 94.79, 0.704; GCA_022739095.1, s__Bifidobacterium sp022739095, 95.0, 93.75, 0.569; GCA_905202265.1, s__Bifidobacterium longum_D, 95.0, 92.35, 0.449; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 90.89, 0.351; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 86.76, 0.32; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 84.08, 0.246; GCF_019331675.1, s__Bifidobacterium miconisargentati, 95.0, 83.67, 0.242; GCF_002259745.1, s__Bifidobacterium myosotis, 95.0, 83.05, 0.185; GCF_002802915.1, s__Bifidobacterium felsineum, 95.0, 82.84, 0.187; GCF_000741715.1, s__Bifidobacterium saguini, 95.0, 82.61, 0.162; GCF_009193305.1, s__Bifidobacterium cebidarum, 95.0, 82.58, 0.199; GCF_018555455.1, s__Bifidobacterium colobi, 95.0, 82.33, 0.177; GCF_000741695.1, s__Bifidobacterium reuteri, 95.0, 82.26, 0.173; GCF_012932375.1, s__Bifidobacterium sp012932375, 95.0, 81.72, 0.157; GCF_002860405.1, s__Bifidobacterium imperatoris, 95.0, 81.65, 0.16	46.18	11.0		
rosella_bin_132_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	34652	0	5	5	8337	8337	6930	6930	9197	9197	36.8	4.06	77.19	11	54	56	0	0	0	0	0	2.88	0.0	Neural Network (Specific Model)	11	0.772	8337	166.40740740740742	34652	0.37	54	5	9197		0	0	0.0	0.29857692	1.0	Unclassified																		No bacterial or archaeal marker
rosella_bin_143_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	107795	0	16	16	7964	7964	6737	6737	12458	12458	43.8	9.13	83.84	11	144	56	0	0	0	0	0	3.92	0.04	Neural Network (Specific Model)	11	0.838	7964	211.31944444444449	107795	0.44	144	16	12458		0	0	0.0	0.5200018	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.1%)
rosella_bin_147_sub	k__Bacteria (UID203)	5449	102	56	5.36	0.0	0.0	242647	0	27	27	9398	9398	8986	8986	37099	37099	56.1	6.95	76.12	11	395	98	4	0	0	0	0	6.36	0.04	Neural Network (Specific Model)	11	0.761	9398	157.6607594936709	242647	0.56	395	27	37099		0	0	0.0	0.40301558	0.99944365	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.7%)
rosella_bin_149_sub	o__Clostridiales (UID1226)	155	278	158	0.45	0.0	0.0	127989	0	22	22	7422	7422	5817	5817	12131	12131	43.0	10.73	84.59	11	177	255	23	0	0	0	0	4.86	0.02	Neural Network (Specific Model)	11	0.846	7422	205.20338983050848	127989	0.43	177	22	12131		0	0	0.0	0.40019917	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (9.2%)
rosella_bin_152_sub	k__Bacteria (UID203)	5449	104	58	1.72	0.0	0.0	35217	0	9	9	2945	2945	3913	3913	9299	9299	32.9	2.72	80.93	11	57	102	2	0	0	0	0	2.92	0.0	Neural Network (Specific Model)	11	0.809	2945	167.40350877192984	35217	0.33	57	9	9299		0	0	0.0	0.3912864	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.1%)
rosella_bin_18_sub	o__Clostridiales (UID1120)	304	249	142	2.04	0.0	0.0	19419	0	2	2	16874	16874	9709	9709	16874	16874	33.7	1.15	67.81	4	28	234	15	0	0	0	0	7.66	0.01	Gradient Boost (General Model)	11	0.678	16874	157.35714285714286	19419	0.34	28	2	16874		0	0	0.0	0.71029866	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.3%)
rosella_bin_19	k__Bacteria (UID2329)	174	149	89	61.13	3.37	0.0	742482	0	40	40	26699	26699	18562	18562	50879	50879	28.3	5.34	88.36	11	873	47	99	3	0	0	0	60.83	1.43	Gradient Boost (General Model)	11	0.884	26699	251.4077892325315	742482	0.28	873	40	50879		0	0	0.0	0.49408418	1.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-417;s__CAG-417 sp000432835	GCA_000432835.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-417;s__CAG-417 sp000432835	98.04	0.746	GCA_000432835.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-417;s__CAG-417 sp000432835	98.04	0.746	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-417;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		57.48	11.0		
rosella_bin_201_sub	root (UID1)	5656	56	24	8.33	0.0	0.0	202452	0	14	14	25329	25329	14460	14460	48618	48618	37.0	0.99	84.67	11	251	54	2	0	0	0	0	7.89	0.01	Neural Network (Specific Model)	11	0.847	25329	228.86852589641435	202452	0.37	251	14	48618		0	0	0.0	0.6313769	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (5.8%)
rosella_bin_23_sub	k__Bacteria (UID203)	5449	103	57	0.58	0.0	0.0	306085	0	31	31	11756	11756	9873	9873	24043	24043	51.2	2.0	82.52	11	404	102	1	0	0	0	0	9.51	0.07	Neural Network (Specific Model)	11	0.825	11756	210.1410891089109	306085	0.51	404	31	24043		0	0	0.0	1.0770367	0.9999967	Unclassified																		No bacterial or archaeal marker
rosella_bin_29_sub	root (UID1)	5656	56	24	4.17	0.0	0.0	62384	0	7	7	8781	8781	8912	8912	15160	15160	42.4	1.87	83.05	11	92	55	1	0	0	0	0	2.57	0.0	Neural Network (Specific Model)	11	0.83	8781	189.82608695652172	62384	0.42	92	7	15160		0	0	0.0	0.61352855	0.99996793	Unclassified Archaea																		Insufficient number of amino acids in MSA (2.8%)
rosella_bin_32_sub	o__Clostridiales (UID1212)	172	263	149	13.27	2.46	0.0	567375	0	118	118	5142	5142	4808	4808	14015	14015	43.3	12.25	79.81	11	1029	215	43	5	0	0	0	18.63	0.38	Neural Network (Specific Model)	11	0.798	5142	149.18756073858114	567375	0.43	1029	118	14015		3	32398	0.0571015642211941	0.2289016	0.99830973	Unclassified Bacteria																		Insufficient number of amino acids in MSA (8.0%)
rosella_bin_33_sub	k__Bacteria (UID203)	5449	103	57	1.75	0.0	0.0	159463	0	18	18	11729	11729	8859	8859	41112	41112	40.6	7.05	75.98	11	178	101	2	0	0	0	0	6.16	0.0	Neural Network (Specific Model)	11	0.76	11729	227.7808988764045	159463	0.41	178	18	41112		0	0	0.0	1.1861069	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.8%)
rosella_bin_37_sub	k__Bacteria (UID203)	5449	104	58	0.86	0.0	0.0	94399	0	17	17	7019	7019	5552	5552	9402	9402	38.1	7.43	80.13	11	159	103	1	0	0	0	0	4.79	0.0	Neural Network (Specific Model)	11	0.801	7019	160.16981132075472	94399	0.38	159	17	9402		0	0	0.0	0.29258507	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (0.4%)
rosella_bin_39_sub	k__Bacteria (UID203)	5449	103	57	5.26	0.0	0.0	165568	0	17	17	12604	12604	9739	9739	27569	27569	38.5	1.75	84.22	11	248	95	8	0	0	0	0	5.02	0.0	Neural Network (Specific Model)	11	0.842	12604	189.375	165568	0.38	248	17	27569		0	0	0.0	0.50217736	0.9999698	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.8%)
rosella_bin_51_sub	o__Bacteroidales (UID2654)	163	486	266	0.18	0.0	0.0	69342	0	10	10	8554	8554	6934	6934	11223	11223	41.8	2.64	89.03	11	94	470	16	0	0	0	0	2.73	0.03	Neural Network (Specific Model)	11	0.89	8554	220.3617021276596	69342	0.42	94	10	11223		0	0	0.0	0.6690013	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (5.8%)
rosella_bin_59_sub	o__Clostridiales (UID1120)	304	249	142	8.92	0.0	0.0	358651	0	68	68	5851	5851	5274	5274	15402	15402	46.9	10.64	86.98	11	474	218	31	0	0	0	0	10.62	0.04	Neural Network (Specific Model)	11	0.87	5851	220.97679324894517	358651	0.47	474	68	15402		0	0	0.0	0.4639402	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (7.7%)
rosella_bin_65	k__Bacteria (UID203)	5449	103	57	10.88	0.0	0.0	244136	0	14	14	26773	26773	17438	17438	47434	47434	36.3	0.96	86.92	11	279	92	11	0	0	0	0	11.12	0.17	Neural Network (Specific Model)	11	0.869	26773	254.8279569892473	244136	0.36	279	14	47434		0	0	0.0	0.7576743	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	GCF_025567365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	98.84	0.947	GCF_025567365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	98.84	0.947	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902362875.1, s__Anaerostipes sp900066705, 95.0, 91.69, 0.731; GCF_030296915.1, s__Anaerostipes hadrus, 95.0, 88.93, 0.54; GCA_905215045.1, s__Anaerostipes sp905215045, 95.0, 87.9, 0.405; GCA_019423795.1, s__Anaerostipes sp019423795, 95.0, 87.34, 0.457	12.63	11.0		Genome domain questionable ( 13.3% Bacterial, 3.8% Archaeal)
